,index,Year,State,D_p,N_p,O_p,R_p,D_s,N_s,O_s,R_s,D_h,O_h,R_h,D_g,O_g,R_g,code
81,844,1852,Vermont,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,VT
82,843,1852,Utah,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,UT
83,842,1852,Texas,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,TX
84,841,1852,Tennessee,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,TN
85,826,1852,Nebraska,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NE
86,840,1852,South_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,SD
87,838,1852,Rhode_Island,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,RI
88,836,1852,Oregon,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,OR
89,835,1852,Oklahoma,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,OK
90,834,1852,Ohio,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,9.0,0.0,1.0,0.0,0.0,OH
91,833,1852,North_Dakota,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,ND
92,832,1852,North_Carolina,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,NC
93,831,1852,New_York,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,15.0,0.0,1.0,0.0,0.0,NY
94,830,1852,New_Mexico,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,NM
95,829,1852,New_Jersey,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,NJ
96,828,1852,New_Hampshire,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,NH
